,,,,,,,,,,,,,,,,,,,,,,,482.3255,0.5987,,,,"1,500.00"
Game_Index,Date,Team A,Team B,Game_No_A,Game_No_B,H_Status_A,H_Status_B,Goals_A,Goals_B,Win_Type,Att,LoG,Result_A,Result_B,Ladder_Pts_A,Ladder_Pts_B,Smoothed Result A,Rating A,Rating B,Actual,Expected,Diff,Sq Diff,Correct,,,Team A,Rating
635,4/01/2019,Winnipeg Jets,Pittsburgh Penguins,40,41,0,1,0,4,-,18642,2:29:00,0,1,0,2,0.0000,"1,535.38","1,530.65",0.0000,0.5068,-0.5068,0.2569,0,,,,
635,4/01/2019,Pittsburgh Penguins,Winnipeg Jets,41,40,1,0,4,0,-,18642,2:29:00,1,0,2,0,1.0000,"1,530.65","1,535.38",1.0000,0.4932,0.5068,0.2569,0,,,,
636,5/01/2019,Buffalo Sabres,Boston Bruins,42,42,0,1,1,2,-,17565,2:31:00,0,1,0,2,0.0216,"1,434.27","1,569.08",0.0216,0.3152,-0.2936,0.0862,1,,,,
636,5/01/2019,Boston Bruins,Buffalo Sabres,42,42,1,0,2,1,-,17565,2:31:00,1,0,2,0,0.9784,"1,569.08","1,434.27",0.9784,0.6848,0.2936,0.0862,1,,,,
637,5/01/2019,Columbus Blue Jackets,Florida Panthers,41,40,0,1,4,3,OT,15213,2:27:00,1,0,2,1,0.8295,"1,542.45","1,478.27",0.8295,0.5913,0.2382,0.0567,1,,,,
637,5/01/2019,Florida Panthers,Columbus Blue Jackets,40,41,1,0,3,4,OT,15213,2:27:00,0,1,1,2,0.1705,"1,478.27","1,542.45",0.1705,0.4087,-0.2382,0.0567,1,,,,
638,5/01/2019,Edmonton Oilers,Los Angeles Kings,41,43,0,1,0,4,-,18230,2:29:00,0,1,0,2,0.0000,"1,451.41","1,420.59",0.0000,0.5442,-0.5442,0.2962,0,,,,
638,5/01/2019,Los Angeles Kings,Edmonton Oilers,43,41,1,0,4,0,-,18230,2:29:00,1,0,2,0,1.0000,"1,420.59","1,451.41",1.0000,0.4558,0.5442,0.2962,0,,,,
639,5/01/2019,Nashville Predators,Montreal Canadiens,43,42,0,1,4,1,-,21302,2:29:00,1,0,2,0,0.9995,"1,548.34","1,522.17",0.9995,0.5376,0.4619,0.2134,1,,,,
639,5/01/2019,Montreal Canadiens,Nashville Predators,42,43,1,0,1,4,-,21302,2:29:00,0,1,0,2,0.0005,"1,522.17","1,548.34",0.0005,0.4624,-0.4619,0.2134,1,,,,
640,5/01/2019,Minnesota Wild,Ottawa Senators,40,42,0,1,4,3,-,14124,2:29:00,1,0,2,0,0.8295,"1,467.06","1,416.01",0.8295,0.5729,0.2566,0.0658,1,,,,
640,5/01/2019,Ottawa Senators,Minnesota Wild,42,40,1,0,3,4,-,14124,2:29:00,0,1,0,2,0.1705,"1,416.01","1,467.06",0.1705,0.4271,-0.2566,0.0658,1,,,,
641,5/01/2019,Calgary Flames,Philadelphia Flyers,43,41,0,1,3,2,OT,19236,2:31:00,1,0,2,1,0.9029,"1,565.89","1,471.12",0.9029,0.6331,0.2698,0.0728,1,,,,
641,5/01/2019,Philadelphia Flyers,Calgary Flames,41,43,1,0,2,3,OT,19236,2:31:00,0,1,1,2,0.0971,"1,471.12","1,565.89",0.0971,0.3669,-0.2698,0.0728,1,,,,
642,5/01/2019,Tampa Bay Lightning,San Jose Sharks,42,43,0,1,2,5,-,17562,2:27:00,0,1,0,2,0.0064,"1,659.32","1,534.08",0.0064,0.6728,-0.6664,0.4441,0,,,,
642,5/01/2019,San Jose Sharks,Tampa Bay Lightning,43,42,1,0,5,2,-,17562,2:27:00,1,0,2,0,0.9936,"1,534.08","1,659.32",0.9936,0.3272,0.6664,0.4441,0,,,,
643,5/01/2019,New York Islanders,St. Louis Blues,40,39,0,1,4,3,-,16801,2:30:00,1,0,2,0,0.8295,"1,549.74","1,535.37",0.8295,0.5207,0.3089,0.0954,1,,,,
643,5/01/2019,St. Louis Blues,New York Islanders,39,40,1,0,3,4,-,16801,2:30:00,0,1,0,2,0.1705,"1,535.37","1,549.74",0.1705,0.4793,-0.3089,0.0954,1,,,,
644,5/01/2019,Vancouver Canucks,Toronto Maple Leafs,45,41,0,1,0,5,-,19388,2:23:00,0,1,0,2,0.0000,"1,448.16","1,538.89",0.0000,0.3723,-0.3723,0.1386,1,,,,
644,5/01/2019,Toronto Maple Leafs,Vancouver Canucks,41,45,1,0,5,0,-,19388,2:23:00,1,0,2,0,1.0000,"1,538.89","1,448.16",1.0000,0.6277,0.3723,0.1386,1,,,,
645,6/01/2019,Edmonton Oilers,Anaheim Ducks,42,43,0,1,4,0,-,17317,2:30:00,1,0,2,0,1.0000,"1,451.41","1,443.15",1.0000,0.5119,0.4881,0.2383,1,,,,
645,6/01/2019,Anaheim Ducks,Edmonton Oilers,43,42,1,0,0,4,-,17317,2:30:00,0,1,0,2,0.0000,"1,443.15","1,451.41",0.0000,0.4881,-0.4881,0.2383,1,,,,
646,6/01/2019,New York Rangers,Arizona Coyotes,41,42,0,1,0,5,-,12396,2:18:00,0,1,0,2,0.0000,"1,438.36","1,474.89",0.0000,0.4476,-0.4476,0.2004,1,,,,
646,6/01/2019,Arizona Coyotes,New York Rangers,42,41,1,0,5,0,-,12396,2:18:00,1,0,2,0,1.0000,"1,474.89","1,438.36",1.0000,0.5524,0.4476,0.2004,1,,,,
647,6/01/2019,Washington Capitals,Detroit Red Wings,41,44,0,1,3,2,-,19515,2:30:00,1,0,2,0,0.9029,"1,552.63","1,433.41",0.9029,0.6651,0.2378,0.0565,1,,,,
647,6/01/2019,Detroit Red Wings,Washington Capitals,44,41,1,0,2,3,-,19515,2:30:00,0,1,0,2,0.0971,"1,433.41","1,552.63",0.0971,0.3349,-0.2378,0.0565,1,,,,
648,6/01/2019,Carolina Hurricanes,Ottawa Senators,41,43,0,1,5,4,-,12924,2:22:00,1,0,2,0,0.7733,"1,535.26","1,416.01",0.7733,0.6652,0.1082,0.0117,1,,,,
648,6/01/2019,Ottawa Senators,Carolina Hurricanes,43,41,1,0,4,5,-,12924,2:22:00,0,1,0,2,0.2267,"1,416.01","1,535.26",0.2267,0.3348,-0.1082,0.0117,1,,,,
649,6/01/2019,Chicago Blackhawks,Pittsburgh Penguins,44,42,0,1,5,3,-,18623,2:24:00,1,0,2,0,0.9432,"1,461.05","1,530.65",0.9432,0.4012,0.5420,0.2938,0,,,,
649,6/01/2019,Pittsburgh Penguins,Chicago Blackhawks,42,44,1,0,3,5,-,18623,2:24:00,0,1,0,2,0.0568,"1,530.65","1,461.05",0.0568,0.5988,-0.5420,0.2938,0,,,,
650,6/01/2019,New Jersey Devils,Vegas Golden Knights,41,45,0,1,2,3,-,18103,2:36:00,0,1,0,2,0.0971,"1,428.84","1,512.01",0.0971,0.3825,-0.2855,0.0815,1,,,,
650,6/01/2019,Vegas Golden Knights,New Jersey Devils,45,41,1,0,3,2,-,18103,2:36:00,1,0,2,0,0.9029,"1,512.01","1,428.84",0.9029,0.6175,0.2855,0.0815,1,,,,
651,6/01/2019,Dallas Stars,Winnipeg Jets,43,41,0,1,1,5,-,15321,2:24:00,0,1,0,2,0.0001,"1,513.26","1,535.38",0.0001,0.4682,-0.4681,0.2191,1,,,,
651,6/01/2019,Winnipeg Jets,Dallas Stars,41,43,1,0,5,1,-,15321,2:24:00,1,0,2,0,0.9999,"1,535.38","1,513.26",0.9999,0.5318,0.4681,0.2191,1,,,,
652,7/01/2019,Calgary Flames,Chicago Blackhawks,44,45,0,1,4,3,-,21036,2:26:00,1,0,2,0,0.8295,"1,565.89","1,461.05",0.8295,0.6465,0.1831,0.0335,1,,,,
652,7/01/2019,Chicago Blackhawks,Calgary Flames,45,44,1,0,3,4,-,21036,2:26:00,0,1,0,2,0.1705,"1,461.05","1,565.89",0.1705,0.3535,-0.1831,0.0335,1,,,,
653,7/01/2019,Minnesota Wild,Montreal Canadiens,41,43,0,1,1,0,-,20601,2:26:00,1,0,2,0,1.0000,"1,467.06","1,522.17",1.0000,0.4214,0.5786,0.3348,0,,,,
653,7/01/2019,Montreal Canadiens,Minnesota Wild,43,41,1,0,0,1,-,20601,2:26:00,0,1,0,2,0.0000,"1,522.17","1,467.06",0.0000,0.5786,-0.5786,0.3348,0,,,,
654,7/01/2019,St. Louis Blues,Philadelphia Flyers,40,42,0,1,3,0,-,19021,2:25:00,1,0,2,0,1.0000,"1,535.37","1,471.12",1.0000,0.5914,0.4086,0.1669,1,,,,
654,7/01/2019,Philadelphia Flyers,St. Louis Blues,42,40,1,0,0,3,-,19021,2:25:00,0,1,0,2,0.0000,"1,471.12","1,535.37",0.0000,0.4086,-0.4086,0.1669,1,,,,
655,7/01/2019,Los Angeles Kings,San Jose Sharks,44,44,0,1,1,3,-,15447,2:20:00,0,1,0,2,0.0024,"1,420.59","1,534.08",0.0024,0.3422,-0.3399,0.1155,1,,,,
655,7/01/2019,San Jose Sharks,Los Angeles Kings,44,44,1,0,3,1,-,15447,2:20:00,1,0,2,0,0.9976,"1,534.08","1,420.59",0.9976,0.6578,0.3399,0.1155,1,,,,
656,7/01/2019,Nashville Predators,Toronto Maple Leafs,44,42,0,1,4,0,-,19059,2:22:00,1,0,2,0,1.0000,"1,548.34","1,538.89",1.0000,0.5136,0.4864,0.2366,1,,,,
656,7/01/2019,Toronto Maple Leafs,Nashville Predators,42,44,1,0,0,4,-,19059,2:22:00,0,1,0,2,0.0000,"1,538.89","1,548.34",0.0000,0.4864,-0.4864,0.2366,1,,,,
657,8/01/2019,Minnesota Wild,Boston Bruins,42,43,0,1,0,4,-,17565,2:28:00,0,1,0,2,0.0000,"1,467.06","1,569.08",0.0000,0.3573,-0.3573,0.1276,1,,,,
657,8/01/2019,Boston Bruins,Minnesota Wild,43,42,1,0,4,0,-,17565,2:28:00,1,0,2,0,1.0000,"1,569.08","1,467.06",1.0000,0.6427,0.3573,0.1276,1,,,,
658,8/01/2019,New Jersey Devils,Buffalo Sabres,42,43,0,1,1,5,-,18212,2:30:00,0,1,0,2,0.0001,"1,428.84","1,434.27",0.0001,0.4922,-0.4920,0.2421,1,,,,
658,8/01/2019,Buffalo Sabres,New Jersey Devils,43,42,1,0,5,1,-,18212,2:30:00,1,0,2,0,0.9999,"1,434.27","1,428.84",0.9999,0.5078,0.4920,0.2421,1,,,,
659,8/01/2019,Montreal Canadiens,Detroit Red Wings,44,45,0,1,3,2,-,18898,2:30:00,1,0,2,0,0.9029,"1,522.17","1,433.41",0.9029,0.6250,0.2779,0.0772,1,,,,
659,8/01/2019,Detroit Red Wings,Montreal Canadiens,45,44,1,0,2,3,-,18898,2:30:00,0,1,0,2,0.0971,"1,433.41","1,522.17",0.0971,0.3750,-0.2779,0.0772,1,,,,
660,8/01/2019,Carolina Hurricanes,New York Islanders,42,41,0,1,4,3,-,13769,2:26:00,1,0,2,0,0.8295,"1,535.26","1,549.74",0.8295,0.4792,0.3504,0.1228,0,,,,
660,8/01/2019,New York Islanders,Carolina Hurricanes,41,42,1,0,3,4,-,13769,2:26:00,0,1,0,2,0.1705,"1,549.74","1,535.26",0.1705,0.5208,-0.3504,0.1228,0,,,,
661,8/01/2019,Florida Panthers,Pittsburgh Penguins,41,43,0,1,1,5,-,18526,2:29:00,0,1,0,2,0.0001,"1,478.27","1,530.65",0.0001,0.4252,-0.4250,0.1807,1,,,,
661,8/01/2019,Pittsburgh Penguins,Florida Panthers,43,41,1,0,5,1,-,18526,2:29:00,1,0,2,0,0.9999,"1,530.65","1,478.27",0.9999,0.5748,0.4250,0.1807,1,,,,
662,8/01/2019,Edmonton Oilers,San Jose Sharks,43,45,0,1,2,7,-,17320,2:25:00,0,1,0,2,0.0010,"1,451.41","1,534.08",0.0010,0.3832,-0.3822,0.1461,1,,,,
662,8/01/2019,San Jose Sharks,Edmonton Oilers,45,43,1,0,7,2,-,17320,2:25:00,1,0,2,0,0.9990,"1,534.08","1,451.41",0.9990,0.6168,0.3822,0.1461,1,,,,
663,8/01/2019,Dallas Stars,St. Louis Blues,44,41,0,1,3,1,-,17037,2:23:00,1,0,2,0,0.9976,"1,513.26","1,535.37",0.9976,0.4682,0.5294,0.2803,0,,,,
663,8/01/2019,St. Louis Blues,Dallas Stars,41,44,1,0,1,3,-,17037,2:23:00,0,1,0,2,0.0024,"1,535.37","1,513.26",0.0024,0.5318,-0.5294,0.2803,0,,,,
664,8/01/2019,Columbus Blue Jackets,Tampa Bay Lightning,42,43,0,1,0,4,-,19092,2:21:00,0,1,0,2,0.0000,"1,542.45","1,659.32",0.0000,0.3379,-0.3379,0.1142,1,,,,
664,8/01/2019,Tampa Bay Lightning,Columbus Blue Jackets,43,42,1,0,4,0,-,19092,2:21:00,1,0,2,0,1.0000,"1,659.32","1,542.45",1.0000,0.6621,0.3379,0.1142,1,,,,
665,8/01/2019,New York Rangers,Vegas Golden Knights,42,46,0,1,2,4,-,18249,2:43:00,0,1,0,2,0.0216,"1,438.36","1,512.01",0.0216,0.3956,-0.3739,0.1398,1,,,,
665,8/01/2019,Vegas Golden Knights,New York Rangers,46,42,1,0,4,2,-,18249,2:43:00,1,0,2,0,0.9784,"1,512.01","1,438.36",0.9784,0.6044,0.3739,0.1398,1,,,,
666,8/01/2019,Colorado Avalanche,Winnipeg Jets,43,42,0,1,4,7,-,15321,2:22:00,0,1,0,2,0.0440,"1,488.89","1,535.38",0.0440,0.4335,-0.3895,0.1517,1,,,,
666,8/01/2019,Winnipeg Jets,Colorado Avalanche,42,43,1,0,7,4,-,15321,2:22:00,1,0,2,0,0.9560,"1,535.38","1,488.89",0.9560,0.5665,0.3895,0.1517,1,,,,
667,8/01/2019,Philadelphia Flyers,Washington Capitals,43,42,0,1,3,5,-,18506,2:37:00,0,1,0,2,0.0568,"1,471.12","1,552.63",0.0568,0.3848,-0.3280,0.1076,1,,,,
667,8/01/2019,Washington Capitals,Philadelphia Flyers,42,43,1,0,5,3,-,18506,2:37:00,1,0,2,0,0.9432,"1,552.63","1,471.12",0.9432,0.6152,0.3280,0.1076,1,,,,
668,9/01/2019,Ottawa Senators,Anaheim Ducks,44,44,0,1,2,1,OT,17174,2:32:00,1,0,2,1,0.9784,"1,416.01","1,443.15",0.9784,0.4610,0.5174,0.2677,0,,,,
668,9/01/2019,Anaheim Ducks,Ottawa Senators,44,44,1,0,1,2,OT,17174,2:32:00,0,1,1,2,0.0216,"1,443.15","1,416.01",0.0216,0.5390,-0.5174,0.2677,0,,,,
669,9/01/2019,Colorado Avalanche,Calgary Flames,44,45,0,1,3,5,-,18220,2:26:00,0,1,0,2,0.0568,"1,488.89","1,565.89",0.0568,0.3910,-0.3342,0.1117,1,,,,
669,9/01/2019,Calgary Flames,Colorado Avalanche,45,44,1,0,5,3,-,18220,2:26:00,1,0,2,0,0.9432,"1,565.89","1,488.89",0.9432,0.6090,0.3342,0.1117,1,,,,
670,9/01/2019,Nashville Predators,Chicago Blackhawks,45,46,0,1,4,3,OT,21255,2:27:00,1,0,2,1,0.8295,"1,548.34","1,461.05",0.8295,0.6230,0.2065,0.0426,1,,,,
670,9/01/2019,Chicago Blackhawks,Nashville Predators,46,45,1,0,3,4,OT,21255,2:27:00,0,1,1,2,0.1705,"1,461.05","1,548.34",0.1705,0.3770,-0.2065,0.0426,1,,,,
671,10/01/2019,Washington Capitals,Boston Bruins,43,44,0,1,4,2,-,17565,2:35:00,1,0,2,0,0.9784,"1,552.63","1,569.08",0.9784,0.4763,0.5020,0.2520,0,,,,
671,10/01/2019,Boston Bruins,Washington Capitals,44,43,1,0,2,4,-,17565,2:35:00,0,1,0,2,0.0216,"1,569.08","1,552.63",0.0216,0.5237,-0.5020,0.2520,0,,,,
672,10/01/2019,Nashville Predators,Columbus Blue Jackets,46,43,0,1,3,4,OT,17065,2:35:00,0,1,1,2,0.1705,"1,548.34","1,542.45",0.1705,0.5085,-0.3380,0.1142,0,,,,
672,10/01/2019,Columbus Blue Jackets,Nashville Predators,43,46,1,0,4,3,OT,17065,2:35:00,1,0,2,1,0.8295,"1,542.45","1,548.34",0.8295,0.4915,0.3380,0.1142,0,,,,
673,10/01/2019,Florida Panthers,Edmonton Oilers,42,44,0,1,3,4,SO,18347,2:38:00,0,1,1,2,0.1705,"1,478.27","1,451.41",0.1705,0.5386,-0.3681,0.1355,0,,,,
673,10/01/2019,Edmonton Oilers,Florida Panthers,44,42,1,0,4,3,SO,18347,2:38:00,1,0,2,1,0.8295,"1,451.41","1,478.27",0.8295,0.4614,0.3681,0.1355,0,,,,
674,10/01/2019,Ottawa Senators,Los Angeles Kings,45,45,0,1,4,1,-,17713,2:31:00,1,0,2,0,0.9995,"1,416.01","1,420.59",0.9995,0.4934,0.5061,0.2561,0,,,,
674,10/01/2019,Los Angeles Kings,Ottawa Senators,45,45,1,0,1,4,-,17713,2:31:00,0,1,0,2,0.0005,"1,420.59","1,416.01",0.0005,0.5066,-0.5061,0.2561,0,,,,
675,10/01/2019,Winnipeg Jets,Minnesota Wild,43,43,0,1,2,3,-,19072,2:25:00,0,1,0,2,0.0971,"1,535.38","1,467.06",0.0971,0.5971,-0.5000,0.2500,0,,,,
675,10/01/2019,Minnesota Wild,Winnipeg Jets,43,43,1,0,3,2,-,19072,2:25:00,1,0,2,0,0.9029,"1,467.06","1,535.38",0.9029,0.4029,0.5000,0.2500,0,,,,
676,10/01/2019,Toronto Maple Leafs,New Jersey Devils,43,43,0,1,4,2,-,15280,2:34:00,1,0,2,0,0.9784,"1,538.89","1,428.84",0.9784,0.6533,0.3251,0.1057,1,,,,
676,10/01/2019,New Jersey Devils,Toronto Maple Leafs,43,43,1,0,2,4,-,15280,2:34:00,0,1,0,2,0.0216,"1,428.84","1,538.89",0.0216,0.3467,-0.3251,0.1057,1,,,,
677,10/01/2019,New York Islanders,New York Rangers,42,43,0,1,4,3,-,17938,2:32:00,1,0,2,0,0.8295,"1,549.74","1,438.36",0.8295,0.6550,0.1745,0.0305,1,,,,
677,10/01/2019,New York Rangers,New York Islanders,43,42,1,0,3,4,-,17938,2:32:00,0,1,0,2,0.1705,"1,438.36","1,549.74",0.1705,0.3450,-0.1745,0.0305,1,,,,
678,10/01/2019,Dallas Stars,Philadelphia Flyers,45,44,0,1,1,2,-,19448,2:28:00,0,1,0,2,0.0216,"1,513.26","1,471.12",0.0216,0.5603,-0.5387,0.2902,0,,,,
678,10/01/2019,Philadelphia Flyers,Dallas Stars,44,45,1,0,2,1,-,19448,2:28:00,1,0,2,0,0.9784,"1,471.12","1,513.26",0.9784,0.4397,0.5387,0.2902,0,,,,
679,10/01/2019,Montreal Canadiens,St. Louis Blues,45,42,0,1,1,4,-,17839,2:28:00,0,1,0,2,0.0005,"1,522.17","1,535.37",0.0005,0.4810,-0.4805,0.2309,1,,,,
679,10/01/2019,St. Louis Blues,Montreal Canadiens,42,45,1,0,4,1,-,17839,2:28:00,1,0,2,0,0.9995,"1,535.37","1,522.17",0.9995,0.5190,0.4805,0.2309,1,,,,
680,10/01/2019,Carolina Hurricanes,Tampa Bay Lightning,43,44,0,1,1,3,-,19092,2:34:00,0,1,0,2,0.0024,"1,535.26","1,659.32",0.0024,0.3287,-0.3263,0.1065,1,,,,
680,10/01/2019,Tampa Bay Lightning,Carolina Hurricanes,44,43,1,0,3,1,-,19092,2:34:00,1,0,2,0,0.9976,"1,659.32","1,535.26",0.9976,0.6713,0.3263,0.1065,1,,,,
681,10/01/2019,Arizona Coyotes,Vancouver Canucks,43,46,0,1,4,3,OT,18527,2:33:00,1,0,2,1,0.8295,"1,474.89","1,448.16",0.8295,0.5384,0.2911,0.0848,1,,,,
681,10/01/2019,Vancouver Canucks,Arizona Coyotes,46,43,1,0,3,4,OT,18527,2:33:00,0,1,1,2,0.1705,"1,448.16","1,474.89",0.1705,0.4616,-0.2911,0.0848,1,,,,
682,10/01/2019,San Jose Sharks,Vegas Golden Knights,46,47,0,1,3,2,-,18367,2:28:00,1,0,2,0,0.9029,"1,534.08","1,512.01",0.9029,0.5317,0.3712,0.1378,1,,,,
682,10/01/2019,Vegas Golden Knights,San Jose Sharks,47,46,1,0,2,3,-,18367,2:28:00,0,1,0,2,0.0971,"1,512.01","1,534.08",0.0971,0.4683,-0.3712,0.1378,1,,,,
683,11/01/2019,Pittsburgh Penguins,Anaheim Ducks,44,45,0,1,7,4,-,17473,2:25:00,1,0,2,0,0.9560,"1,530.65","1,443.15",0.9560,0.6233,0.3327,0.1107,1,,,,
683,11/01/2019,Anaheim Ducks,Pittsburgh Penguins,45,44,1,0,4,7,-,17473,2:25:00,0,1,0,2,0.0440,"1,443.15","1,530.65",0.0440,0.3767,-0.3327,0.1107,1,,,,
684,11/01/2019,Buffalo Sabres,Carolina Hurricanes,44,44,0,1,3,4,-,17199,2:30:00,0,1,0,2,0.1705,"1,434.27","1,535.26",0.1705,0.3586,-0.1882,0.0354,1,,,,
684,11/01/2019,Carolina Hurricanes,Buffalo Sabres,44,44,1,0,4,3,-,17199,2:30:00,1,0,2,0,0.8295,"1,535.26","1,434.27",0.8295,0.6414,0.1882,0.0354,1,,,,
685,11/01/2019,Florida Panthers,Calgary Flames,43,46,0,1,3,4,-,18579,2:28:00,0,1,0,2,0.1705,"1,478.27","1,565.89",0.1705,0.3765,-0.2060,0.0425,1,,,,
685,11/01/2019,Calgary Flames,Florida Panthers,46,43,1,0,4,3,-,18579,2:28:00,1,0,2,0,0.8295,"1,565.89","1,478.27",0.8295,0.6235,0.2060,0.0425,1,,,,
686,11/01/2019,Detroit Red Wings,Winnipeg Jets,46,44,0,1,2,4,-,15321,2:23:00,0,1,0,2,0.0216,"1,433.41","1,535.38",0.0216,0.3573,-0.3357,0.1127,1,,,,
686,11/01/2019,Winnipeg Jets,Detroit Red Wings,44,46,1,0,4,2,-,15321,2:23:00,1,0,2,0,0.9784,"1,535.38","1,433.41",0.9784,0.6427,0.3357,0.1127,1,,,,
687,12/01/2019,Tampa Bay Lightning,Buffalo Sabres,45,45,0,1,5,3,-,19070,2:33:00,1,0,2,0,0.9432,"1,659.32","1,434.27",0.9432,0.7851,0.1581,0.0250,1,,,,
687,12/01/2019,Buffalo Sabres,Tampa Bay Lightning,45,45,1,0,3,5,-,19070,2:33:00,0,1,0,2,0.0568,"1,434.27","1,659.32",0.0568,0.2149,-0.1581,0.0250,1,,,,
688,12/01/2019,Vegas Golden Knights,Chicago Blackhawks,48,47,0,1,4,3,OT,21760,2:31:00,1,0,2,1,0.8295,"1,512.01","1,461.05",0.8295,0.5728,0.2567,0.0659,1,,,,
688,12/01/2019,Chicago Blackhawks,Vegas Golden Knights,47,48,1,0,3,4,OT,21760,2:31:00,0,1,1,2,0.1705,"1,461.05","1,512.01",0.1705,0.4272,-0.2567,0.0659,1,,,,
689,12/01/2019,St. Louis Blues,Dallas Stars,43,46,0,1,3,1,-,18124,2:27:00,1,0,2,0,0.9976,"1,535.37","1,513.26",0.9976,0.5318,0.4659,0.2170,1,,,,
689,12/01/2019,Dallas Stars,St. Louis Blues,46,43,1,0,1,3,-,18124,2:27:00,0,1,0,2,0.0024,"1,513.26","1,535.37",0.0024,0.4682,-0.4659,0.2170,1,,,,
690,12/01/2019,Arizona Coyotes,Edmonton Oilers,44,45,0,1,3,2,-,18347,2:27:00,1,0,2,0,0.9029,"1,474.89","1,451.41",0.9029,0.5337,0.3692,0.1363,1,,,,
690,12/01/2019,Edmonton Oilers,Arizona Coyotes,45,44,1,0,2,3,-,18347,2:27:00,0,1,0,2,0.0971,"1,451.41","1,474.89",0.0971,0.4663,-0.3692,0.1363,1,,,,
691,12/01/2019,Pittsburgh Penguins,Los Angeles Kings,45,46,0,1,2,5,-,18414,2:36:00,0,1,0,2,0.0064,"1,530.65","1,420.59",0.0064,0.6533,-0.6469,0.4184,0,,,,
691,12/01/2019,Los Angeles Kings,Pittsburgh Penguins,46,45,1,0,5,2,-,18414,2:36:00,1,0,2,0,0.9936,"1,420.59","1,530.65",0.9936,0.3467,0.6469,0.4184,0,,,,
692,12/01/2019,Detroit Red Wings,Minnesota Wild,47,44,0,1,5,2,-,19087,2:28:00,1,0,2,0,0.9936,"1,433.41","1,467.06",0.9936,0.4517,0.5418,0.2936,0,,,,
692,12/01/2019,Minnesota Wild,Detroit Red Wings,44,47,1,0,2,5,-,19087,2:28:00,0,1,0,2,0.0064,"1,467.06","1,433.41",0.0064,0.5483,-0.5418,0.2936,0,,,,
693,12/01/2019,Colorado Avalanche,Montreal Canadiens,45,46,0,1,0,3,-,21302,2:20:00,0,1,0,2,0.0000,"1,488.89","1,522.17",0.0000,0.4523,-0.4523,0.2045,1,,,,
693,12/01/2019,Montreal Canadiens,Colorado Avalanche,46,45,1,0,3,0,-,21302,2:20:00,1,0,2,0,1.0000,"1,522.17","1,488.89",1.0000,0.5477,0.4523,0.2045,1,,,,
694,12/01/2019,Philadelphia Flyers,New Jersey Devils,45,44,0,1,2,3,-,16514,2:32:00,0,1,0,2,0.0971,"1,471.12","1,428.84",0.0971,0.5606,-0.4635,0.2148,0,,,,
694,12/01/2019,New Jersey Devils,Philadelphia Flyers,44,45,1,0,3,2,-,16514,2:32:00,1,0,2,0,0.9029,"1,428.84","1,471.12",0.9029,0.4394,0.4635,0.2148,0,,,,
695,12/01/2019,New York Rangers,New York Islanders,44,43,0,1,2,1,-,15497,2:27:00,1,0,2,0,0.9784,"1,438.36","1,549.74",0.9784,0.3450,0.6334,0.4012,0,,,,
695,12/01/2019,New York Islanders,New York Rangers,43,44,1,0,1,2,-,15497,2:27:00,0,1,0,2,0.0216,"1,549.74","1,438.36",0.0216,0.6550,-0.6334,0.4012,0,,,,
696,12/01/2019,Ottawa Senators,San Jose Sharks,46,47,0,1,1,4,-,17562,2:21:00,0,1,0,2,0.0005,"1,416.01","1,534.08",0.0005,0.3363,-0.3358,0.1128,1,,,,
696,12/01/2019,San Jose Sharks,Ottawa Senators,47,46,1,0,4,1,-,17562,2:21:00,1,0,2,0,0.9995,"1,534.08","1,416.01",0.9995,0.6637,0.3358,0.1128,1,,,,
697,12/01/2019,Boston Bruins,Toronto Maple Leafs,45,44,0,1,3,2,-,19305,2:24:00,1,0,2,0,0.9029,"1,569.08","1,538.89",0.9029,0.5433,0.3596,0.1293,1,,,,
697,12/01/2019,Toronto Maple Leafs,Boston Bruins,44,45,1,0,2,3,-,19305,2:24:00,0,1,0,2,0.0971,"1,538.89","1,569.08",0.0971,0.4567,-0.3596,0.1293,1,,,,
698,12/01/2019,Columbus Blue Jackets,Washington Capitals,44,44,0,1,2,1,OT,18506,2:40:00,1,0,2,1,0.9784,"1,542.45","1,552.63",0.9784,0.4853,0.4930,0.2431,0,,,,
698,12/01/2019,Washington Capitals,Columbus Blue Jackets,44,44,1,0,1,2,OT,18506,2:40:00,0,1,1,2,0.0216,"1,552.63","1,542.45",0.0216,0.5147,-0.4930,0.2431,0,,,,
699,13/01/2019,Nashville Predators,Carolina Hurricanes,47,45,0,1,3,6,-,16347,2:31:00,0,1,0,2,0.0216,"1,548.34","1,535.26",0.0216,0.5188,-0.4972,0.2472,0,,,,
699,13/01/2019,Carolina Hurricanes,Nashville Predators,45,47,1,0,6,3,-,16347,2:31:00,1,0,2,0,0.9784,"1,535.26","1,548.34",0.9784,0.4812,0.4972,0.2472,0,,,,
700,13/01/2019,New York Rangers,Columbus Blue Jackets,45,45,0,1,5,7,-,17417,2:33:00,0,1,0,2,0.1358,"1,438.36","1,542.45",0.1358,0.3545,-0.2187,0.0478,1,,,,
700,13/01/2019,Columbus Blue Jackets,New York Rangers,45,45,1,0,7,5,-,17417,2:33:00,1,0,2,0,0.8642,"1,542.45","1,438.36",0.8642,0.6455,0.2187,0.0478,1,,,,
